Job Code,Job Title_FR,Job Title_AR
10100.0,الاستشارة في تنظيم وادارة المؤسسة,Conseils en organisation et management d'entreprise
10122.0,مستشار/محلل تطوير الأعمال,Consultant / Analyste en Business Développement
10123.0,ناشر المحتوى التعليمي عبر الإنترنت,Editeur de contenue pédagogique en ligne
10124.0,مكون خبير في ميكاترونيات السيارات,Formateur expert en mécatronique auto
10125.0,مكون في المهن الأمنية، تخصص السلامة من الحرائق وتخصص الأمن الخاص,"Formateur aux métiers de la sécurité, option sécurité incendie et option sécurité privée"
10126.0,مستشار في التنمية المستدامة والمسؤولية الاجتماعية للشركات,Conseil en développement durable et RSE (Responsabilité Sociétale des Entreprises)
10127.0,مكون ومستشار في مجال الجودة والنظافة والسلامة والبيئة,Formateur et conseiller dans le domaine QHSE
10128.0,مكون في التأمينات وضمان الجودة,Formateur en assurance / management de la qualité
10129.0,مستشار خبير في الموارد البشرية والاستراتيجية,Conseil expert en RH et stratégie
10130.0,استشاري في خدمات الإعلام الآلي,Consultant en Service Informatique
10131.0,مكون في برمجيات المحاسبة,Formateur en logiciels de comptabilité
10132.0,مستشار في التشغيل الآلي للمنازل,Conseiller en domotique
10133.0,مسير أمانة (سكريتاريا),Gestionnaire de secrétariat
10134.0,استشاري مشتريات وتوريد,Consultant en Achat / Approvisionnement et sourcing
10135.0,مكون في التطوير المهني,Formateur en développement professionnel
10200.0,الدراسات والاستشراف الاجتماعي الاقتصادي,Études et prospectives socio-économiques
10221.0,استشاري لوجستي,Consultant en logistique
10222.0,استشاري في التجارة الدولية,Consultant en commerce international
10223.0,استشاري تقني- تجاري,Consultant Technico-commercial
10400.0,الهندسة والمساعدة التقنية في مجال الزراعة والبيئة,Ingénierie et assistance technique en agriculture et environnement
10433.0,استشاري في التنمية الزراعية,Consultant en agro développement
10434.0,استشاري في الهندسة المعمارية المستدامة والهندسة البيئية,Conseiller en architecture durable et en ingénierie environnementale
10435.0,مكون في جودة الأغذية الزراعية,Formateur en qualité agroalimentaire
10436.0,مساعد مزارع,Assistant d'agriculteur
10437.0,أخصائي تربية النحل,Spécialiste en élevage d’abeilles
10438.0,متسلق نخيل وأشجار أخرى,"Grimpeurs de palmiers, dattiers et autres"
10439.0,مربّي العلقات,Hirudiniculteur
10440.0,مشغل المذبح المتنقل وآلات الذبح,Opérateur d'abattoir mobile et de machine d'abattage
10600.0,تركيب الشبكات الكهربائية والاتصالات,Montage réseaux électriques et télécoms
10619.0,استشاري في الطرق والشبكات المتنوعة,Consultant en Voirie & Réseaux Divers (VRD)
10800.0,العلاقات العامة والاتصالات,Relations publiques et communication
10805.0,مكون في العلاقات الشخصية,Formateur en interpersonnel
10806.0,مستشار ومساعد في التواصل الجرافيكي,Consultant et assistant en communication graphique
10807.0,مندوب مبيعات,Représentant commercial
10808.0,وكيل تحصيل الديون,Agent de recouvrement de créances
10900.0,الدراسة والتحليل المالي,Etudes et analyses financières
10908.0,مدير مالي,Directeur Financier (CFO)
10909.0,مستشار في الاستثمار,Conseiller en investissement
10910.0,مرشد تأمين,Accompagnateur en assurance
10911.0,استشاري تصدير واستيراد,Consultant en Import-export
11200.0,تكوين واستشارة تقنية وصناعية,Formations et Conseils Techniques et Industriels
11201.0,مكون برمجيات,Formateur en logiciels
11202.0,مكون صيانة المركبات,Formation en maintenance automobile
11203.0,مكون نمذجة معلومات المباني,Formateur BIM (Building information modeling)
11204.0,مكون إصلاح الهواتف والأجهزة اللوحية,Formateur de la réparation de téléphones et tablettes
11205.0,مصمم برمجيات,Concepteur de programmes
11206.0,استشاري صناعي في الآلات البترولية والطاقة,Consultant industriel en machines hydrocarbure et énergie
11207.0,مدرب استشاري في قياس الألوان وتقنيات الطباعة,Consultant formateur en colorimétrie et techniques d'impression
11208.0,استشاري كيمياء صناعية,Consultant en chimie industrielle
11300.0,خدمات الصحة والعناية,Services de Santé et Bien-être
11301.0,مدرب في مكافحة الآفات الحشرية والقوارض والتعقيم,Formateur en lutte anti-nuisible (dératisation -désinsectisation -désinfection ...)
11302.0,مكونة في التجميل,Formatrice en esthétique
11303.0,مستشار تغدية وحمية,Conseiller en nutrition et diététique
20200.0,التصميم والإبداع الرقمي,Design et création numérique
20211.0,مصمم علامات تجارية,Designer de marques
20212.0,أخصائي في النمدجة,Spécialiste de modélisation
20300.0,التسويق الرقمي,Marketing numérique
20313.0,مدير أعمال صانع المحتوى أو المسوق الرقمي,Manager de créateurs de contenu ou marketeurs numériques
21100.0,الخدمات المتعلقة بالتجارة الالكترونية,Services relatifs à l'E-commerce
21111.0,مكون في التجارة الإلكترونية,Formateur en E-commerce
21500.0,دراسات وتطوير شبكات الاتصالات,Études et développement de réseaux de télécoms
21525.0,رسام خرائط بحرية,Cartographe marin
21700.0,تسيير وتشغيل الانظمة المعلوماتية,Gestion et exploitation de systèmes d'information
21713.0,مسير المخزون,Gestionnaire de Stock
21714.0,مسؤول التسيير الإلكتروني للملفات,Chargé de la Gestion électronique des dossiers
21900.0,أنشطة ذات صلة,Activités connexes
21912.0,سائق توصيل الطرود بالسيارة داخل الولاية,Livreur de colis avec véhicule en intra-wilaya
21913.0,مصمم مجوهرات عن طريق البرمجيات,Designer de bijoux par logiciels
21914.0,مصحح ومدقق لغوي,Correcteur/relecteur linguistique
30200.0,المساعدة المنزلية لكبار السن أو المعاقين,Aide à domicile pour les personnes âgées ou handicapées
30207.0,مساعد الرعاية الصحية,Garde malade
30208.0,مترجم لغة الإشارة,Interprète en langue des signes
30400.0,تحضير الوجبات في المنزل,Préparation de repas à domicile
30404.0,صانع حلويات منزلي,Pâtissier à domicile
30500.0,المساعدة في الواجبات المنزلية والدعم الأكاديمي في المنزل,Aide aux devoirs et soutien scolaire à domicile
30504.0,مدرس تعليم متخصص,Professionnel d’enseignement spécialisé
30700.0,خدمات البستنة وصيانة الحدائق,Services de jardinage et d'entretien paysager
30703.0,مصمم ديكور زهور,Décorateur Fleuriste
30900.0,خدمات الرعاية والراحة المنزلية,Services de Confort et de Soins à Domicile
30901.0,مصمم أزياء,Styliste
30902.0,أخصائي(ة) تجميل في المنزل,Esthéticienne à domicile
30903.0,حلاق (ة ) في المنزل,Coiffeur(se) à domicile
30904.0,أخصائي(ة)  تجميل الأظافر في المنزل,Ongleriste à domicile
31000.0,خدمات خاصة بالحيوانات الأليفة,Services animaliers domestiques
31001.0,مدرب كلاب,Dresseur de chiens
31002.0,مختص في رعاية الحيوانات الأليفة,Garde animaux domestiques
40300.0,المساعدة المنزلية,Assistance maison
40301.0,مركب و مصلح الستائر والستائر المتدحرجة,Installateur et réparateur des stores et volets roulants
40302.0,عامل التنظيف والصيانة والتطهير,"Agent de Nettoyage, entretien et désinfection"
40303.0,عامل نقل و تركيب الأثاث و العدات,Agent de déménagement et de montage
40304.0,مصمم داخلي,Designer d'intérieur
50200.0,تصميم محتوى الوسائط المتعددة,Conception de contenus multimédias
50208.0,مصمم قصص مصورة,Concepteur de bandes dessinées
50300.0,أنشطة ترفيهية,Activités de loisirs
50301.0,مستشار في الفندقة والسياحة,Conseiller en hôtellerie et tourisme.
50302.0,مشغل صالة ألعاب الفيديو,Opérateur de salle de jeux vidéo
50303.0,مدرب صوت,Coach vocal
60600.0,التصميم الصناعي,Design industriel
60605.0,مصمم إضاءة,Designer d'éclairage
60606.0,مصمم أحذية,Styliste Modéliste de chaussures
60700.0,النظافة، السلامة والمحيط الصناعي,Hygiène Sécurité Environnement-HSE industriels
60706.0,عون تنظيف واجهات زجاجية,Agent de nettoyage des façades vitrées
60707.0,عون تنظيف صناعي,Agent de nettoyage industriel
60708.0,عامل تجميع وفرز النفايات,Agent de collecte et tri des déchets
61000.0,تسيير الإنتاج الصناعي,Gestion de production Industrielle
61004.0,مشغل آلات طباعة السريغرافيا,Operateur de Sériographie
61700.0,قيادة تركيب الإنتاج الكهربائي والإلكتروني,"Conduite d’installation de production électrique, électronique"
61710.0,مشغل آلات CNC,Opérateur de machine CNC
63400.0,تركيب وصيانة شبكة الاتصالات والتيارات المنخفضة,Installation et maintenance réseau télécoms et courants faibles
63431.0,مُعَيِّن مَسَار الألياف البصرية,Piqueteur en fibre otique
63432.0,تقني ألياف  بصرية,Technicien en fibre optique
63600.0,الصيانة الكهربائية,Maintenance électrique
63611.0,تركيب وصيانة أنظمة الطاقة الشمسية,Installation et maintenance de systèmes d'énergie solaire
63800.0,الخدمات التقنية والصناعية,Services Techniques et Industriels
63801.0,مشرف موقع البناء,Superviseur de chantier
63802.0,استشاري فحص وسلامة المنشآت الصناعية,Consultant en inspection et intégrité des installations industrielles
63803.0,استشاري مراقبة وفحص CND,Consultant de Contrôle et inspection CND
63804.0,استشاري مسح المباني (القياس التصويري، القياس بالليزر / نمذجة معلومات المباني),"Consultant en relevé du bâti (Photogrammétrie, Lasergrametrie / Modélisation BIM)"
63805.0,مهندس موثوقية,Ingénieur en fiabilité
63806.0,مشغل آلات الأشغال العمومية,Conducteur d'engins de travaux publics
63807.0,ميكانيكي بحري,Mécanicien maritime
63808.0,مهندس أنظمة مدمجة,Ingénieur Systèmes Embarqués
70200.0,إنتاج العروض، السينما والسمعي البصري,"Production spectacle, cinéma et audiovisuelle"
70236.0,مسير بيانات الترفيه,Data manager loisirs (DIT)
70400.0,الإخراج السينمائي والسمعي البصري,Réalisation cinématographique et audiovisuelle
70422.0,مخرج رسوم متحركة,Réalisateur de dessins animés
70500.0,ترقية الفنانين,Promotion d'artistes
70509.0,مكتشف مواهب,Découvreur de talents
70700.0,الفنون الدرامية والبصرية,Arts dramatiques et visuels
70714.0,ساحر/ لاعِب خِفة,Magicien /Illusionniste
70900.0,تقديم العروض او الحصص,Présentation de spectacles ou d'émissions
70911.0,مراسل وسائط متعددة,Reporteur multimédia
71500.0,الصورة السينمائية والتليفزيونية,Image cinématographique et télévisuelle
71527.0,أخصائي تحجيم الفيديو / تخطيط الإسقاط,Spécialiste en vidéo mapping / projection mapping
71600.0,التقاط الصوت والبث الصوتي,Prise de son et sonorisation
71616.0,معلق الصوت الخلفي  (voice-over),Voix off
71900.0,إنجاز مواد إعلامية,Réalisation de produits multimédias
71909.0,فنان مؤثرات بصرية,Artiste en effets visuels
71910.0,مصمم طعام,Styliste culinaire
72300.0,فن وتراث,Art et Patrimoine
72301.0,فنان تشكيلي,Artiste Plasticien
72302.0,فنان نحات,Artiste Sculpteur
72303.0,فنان خزفي,Artiste Céramiste
72304.0,فنان جرافيك,Artiste Graphiste
72305.0,فنان إنفوغرافي,Artiste Infographiste
72306.0,فنان نقاش,Artiste Graveur
72307.0,فنان مصغر,Artiste Miniaturiste
72308.0,فنان اضاءة,Artiste Enlumineur
72309.0,فنان مصمم,Artiste Designeur
72310.0,فنان زجاجي,Artiste Vireur
72311.0,فنان خطاط,Artiste Calligraphe
72312.0,منشط معرض فني,Animateur de Galerie d’ART
72313.0,مسؤول معرض,Chef de Galerie
72314.0,فنان سينوغراف,Artiste Scénographe
72315.0,فنان القصص المصورة,Artiste de Bande Dessinée
72316.0,فنان معرضي,Artiste Galeriste
72317.0,خبير فنون,Expert en arts
72318.0,فنان ديكور داخلي,Artiste de décoration intérieure
72319.0,فنان مصمم أزياء,Artiste Styliste
72320.0,فنان موضة,Artiste Modéliste
72321.0,فنان مصور,Artiste Photographe
72322.0,فنان رسام,Artiste Dessinateur
72323.0,مصلح آلات موسيقية,Réparateur d’instruments musicaux
72324.0,مرمم التحف الفنية,Restaurateur d’œuvres artistiques
